sample,index,param,time,LEO-score,Gurobi-score,History-score,satisfaction gap,LEO-CPU time,Gurobi-CPU time,LEO-satisfaction,Gurobi-satisfaction,obj_gap1,obj_gap2
insample,Number of pre-allocated vehicles,locality0.2,1721983590.4232025.txt,185.0,154.0,318.0,0.20128563080319462,25.938162565231323,166.2131052017212,-0.4182258419546555,-0.5157070532373196,247.84,9.45
insample,Number of pre-allocated vehicles,locality0.2,1721983876.1650293.txt,84.0,91.0,6.0,-0.07691462476650918,12.811814069747925,127.70515704154968,12.978369384359402,14.143094841930116,0.0,0.69
insample,Number of users covered by vehicles,locality0.2,1721986244.3371525.txt,220.0,220.0,0.0,0.0,13.325269937515259,118.3453757762909,22000.0,22000.0,273.37,8.19
insample,Number of users covered by vehicles,locality0.2,1721986570.8672874.txt,180.0,217.0,30.0,-0.17049905534307175,12.310684204101562,189.46272706985474,4.998333888703765,6.2312562479173605,7.29,1.47
insample,Number of users covered by vehicles,locality0.2,1721986838.8635042.txt,382.0,382.0,153.0,0.0,19.123915195465088,126.03460597991943,1.4966342069145808,1.4966342069145808,217.28,5.82
insample,Number of users covered by vehicles,locality0.2,1721987186.2405684.txt,234.0,234.0,12.0,0.0,13.767890691757202,198.20101642608643,18.484596169858452,18.484596169858452,220.66,6.24
insample,Number of users covered by vehicles,locality0.2,1721987463.1124191.txt,196.0,235.0,12.0,-0.16595038508999618,25.29366159439087,129.3843650817871,15.320566194837635,18.567860116569527,139.32,1.68
insample,Order completion rate of vehicles,locality0.2,1721979110.4703767.txt,183.0,183.0,0.0,0.0,12.540382385253906,183.05624866485596,18300.0,18300.0,38.42,7.66
insample,Order completion rate of vehicles,locality0.2,1721979383.5308428.txt,131.0,187.0,0.0,-0.2994492273140474,16.682237148284912,123.3517210483551,13100.0,18700.0,73.85,2.37
insample,Order completion rate of vehicles,locality0.2,1721979764.44983.txt,134.0,200.0,12.0,-0.32998350082495875,29.51308512687683,189.2893569469452,10.15820149875104,15.653621981681932,195.05,2.62
insample,Order completion rate of vehicles,locality0.2,1721980092.2469435.txt,226.0,226.0,0.0,0.0,11.809535026550293,194.55811047554016,22600.0,22600.0,106.64,7.66
insample,Order completion rate of vehicles,locality0.2,1721980447.9683726.txt,1338.0,1338.0,878.0,0.0,13.237034320831299,196.49122190475464,0.5239120283368071,0.5239120283368071,239.73,7.7
insample,Proportion of idle vehicles,locality0.2,1721958875.9741411.txt,-1204.438699951318,-1204.438699951318,-992.4386999513182,0.0,9.024902820587158,116.0378806591034,-0.21361736113677401,-0.21361736113677401,126.56,17.76
insample,Proportion of idle vehicles,locality0.2,1721959223.0776587.txt,-1204.438699951318,-1204.438699951318,-992.4386999513182,0.0,9.036623477935791,122.96741652488708,-0.21361736113677401,-0.21361736113677401,126.56,16.26
insample,Proportion of idle vehicles,locality0.2,1721959469.2671373.txt,-1204.438699951318,-1204.438699951318,-992.4386999513182,0.0,11.387104034423828,121.07893252372742,-0.21361736113677401,-0.21361736113677401,126.56,15.99
insample,Proportion of idle vehicles,locality0.2,1721959717.8503332.txt,-1204.438699951318,-1204.438699951318,-992.4386999513182,0.0,9.152267694473267,120.92728900909424,-0.21361736113677401,-0.21361736113677401,126.56,11.39
insample,Proportion of idle vehicles,locality0.2,1721959971.1068704.txt,-1204.438699951318,-1204.438699951318,-992.4386999513182,0.0,10.219763278961182,129.2205731868744,-0.21361736113677401,-0.21361736113677401,126.56,18.05
insample,Proportion of idle vehicles,locality0.4,1721960527.7282279.txt,-1517.3938571911042,-1517.3938571911042,-1210.3938571911042,0.0,8.662519693374634,117.85760974884033,-0.2536385446452039,-0.2536385446452039,879.15,29.6
insample,Proportion of idle vehicles,locality0.4,1721960789.4580245.txt,-483.6856428312672,-490.6856428312672,-311.68564283126716,0.014266043367486145,5.025404214859009,123.69766974449158,-0.5518557640165557,-0.5743150102265318,8161.05,21.59
insample,Proportion of idle vehicles,locality0.4,1721961111.6373935.txt,-313.7538533657068,-339.75385336570685,-182.75385336570682,0.07652824250513564,53.42695760726929,127.0845742225647,-0.7168503760169864,-0.8591260231653963,220.66,3.28
insample,Proportion of idle vehicles,locality0.4,1721961372.9956582.txt,-444.56757801269043,-479.56757801269043,-308.56757801269043,0.0729839368716509,9.396154165267944,129.991366147995,-0.4407605247485011,-0.5541915421470124,0.0,10.8
insample,Proportion of idle vehicles,locality0.4,1721961633.0128758.txt,-474.54842601027633,-507.54842601027633,-330.5484260102762,0.0650197074917276,10.18138575553894,125.97022294998169,-0.4356528278364926,-0.5354899342156887,0.0,9.45
insample,Proportion of idle vehicles,locality0.6,1721962140.4242184.txt,-1526.9956416837438,-1540.9956416837438,-1175.9956416837438,0.009085094384593375,6.027817487716675,117.68603491783142,-0.29847303194743763,-0.3103779392046004,650.43,35.18
insample,Proportion of idle vehicles,locality0.6,1721962436.3377728.txt,-1569.1294042314423,-1569.1294042314423,-1189.1294042314428,0.0,18.85302996635437,126.36417317390442,-0.31956420746964675,-0.31956420746964675,220.66,8.67
insample,Proportion of idle vehicles,locality0.6,1721962711.8398447.txt,-1752.4555943513449,-1761.4555943513449,-1347.4555943513453,0.005109439672086076,24.464055061340332,121.31285285949707,-0.30056872180799615,-0.30724802673706275,220.66,12.43
insample,Proportion of idle vehicles,locality0.6,1721962969.904141.txt,-1342.010647856731,-1406.010647856731,-1041.010647856732,0.045519182439609715,17.64721393585205,121.92884111404419,-0.2891448728871726,-0.35062418140803336,237.78,1.51
insample,Proportion of idle vehicles,locality0.6,1721963243.0917647.txt,-1482.715072540574,-1513.715072540574,-1141.7150725405738,0.020479550846698415,11.456284284591675,127.09435606002808,-0.2986760838691831,-0.3258284551300179,248.82,16.34
insample,Proportion of idle vehicles,locality0.8,1721963579.1696665.txt,-981.2219646948473,-1024.2219646948477,-659.2219646948475,0.04198349705162027,24.002699375152588,116.3053891658783,-0.4884620080417611,-0.5536914066311894,220.66,0.89
insample,Proportion of idle vehicles,locality0.8,1721963859.0118568.txt,-785.9929992696004,-835.9929992696004,-501.9929992696005,0.05980982872102073,24.243869304656982,119.19902181625366,-0.56575621169089,-0.6653611785378776,220.66,14.87
insample,Proportion of idle vehicles,locality0.8,1721964131.615806.txt,-986.2989220091808,-1027.2989220091808,-665.2989220091811,0.03991087523830378,23.386818170547485,124.73785519599915,-0.482497136778673,-0.5441244969279739,220.66,3.38
